customer_id,age,annual_income,credit_score,employment_status,years_employed,debt_to_income_ratio,savings_balance,checking_balance,home_ownership,marital_status,num_dependents,education_level,loan_purpose,requested_loan_amount,existing_loans,payment_history,loan_term,interest_rate,monthly_payment,approval_status
00d010cc-c20d-4280-9538-3a3a777454f8,56,452184,743,Employed,33,0.92,549895,12625,Own,Single,5,Bachelor's,Car Purchase,210451,4,Fair,60,22.82,5910.97,Rejected
b164c10f-ed16-45fd-bf2f-48f1a0d39385,69,181149,320,Retired,45,0.09,553545,7985,Own,Married,5,Bachelor's,Education,415880,2,Fair,12,22.05,38934.04,Approved
4ff07de7-23d5-40e3-9f6d-71e574552af8,46,259654,444,Employed,23,0.69,214335,48767,Rent,Married,5,High School,Business Expansion,137607,0,Good,36,23.45,5359.06,Approved
7ab8b7f2-e3fa-40fd-827c-e052f2710ef5,32,447991,798,Employed,9,0.67,677014,46163,Own,Married,5,Bachelor's,Medical Expenses,351926,2,Good,60,16.62,8674.52,Approved
8cae6767-afb1-48b1-a2ae-a2f6eb57c674,60,209216,445,Employed,39,0.95,737884,22259,Own,Married,4,High School,Education,40705,2,Good,180,3.21,285.23,Approved
c74cfe9d-36d0-44c7-b975-362489c1cc0c,25,330714,740,Employed,7,0.37,285047,40048,Mortgage,Married,1,Master's,Education,63302,3,Good,48,21.91,1991.31,Rejected
cf636438-b46b-4e0a-88ea-a7afeb56953e,78,197169,720,Employed,54,0.31,404063,19414,Own,Single,3,High School,Home Improvement,15850,0,Fair,36,16.53,561.4,Rejected
90d1e83d-e318-42ad-9518-21a4de62b8ad,38,306647,615,Employed,20,0.17,219575,17059,Rent,Widowed,4,Doctorate,Home Improvement,486607,2,Excellent,24,12.82,23093.06,Approved
0a11d901-1100-4ee3-a41f-3d7092b9f479,56,153851,465,Employed,32,0.27,440461,368,Rent,Married,1,Master's,Car Purchase,126539,4,Excellent,24,18.52,6349.18,Approved
d773732b-d3a3-4c09-b42a-64a213b89f04,75,368984,502,Employed,55,0.5,655951,39538,Rent,Married,3,Master's,Car Purchase,373699,1,Fair,60,15.79,9045.99,Approved
c7624e42-1886-4710-80f5-f3d79f79bfcd,36,151827,795,Employed,14,0.84,24422,27751,Rent,Single,1,High School,Medical Expenses,20065,2,Fair,12,9.48,1759.18,Approved
e62490cc-1721-4e16-af01-ed3876b62b55,40,321407,767,Employed,22,0.28,587503,9395,Own,Married,1,High School,Debt Consolidation,175173,1,Poor,24,22.75,9152.66,Pending
51586cf1-738a-4f35-87d6-a250a48c509c,28,390635,684,Employed,8,0.16,55315,36128,Mortgage,Widowed,4,Bachelor's,Medical Expenses,144078,4,Poor,24,8.82,6570.27,Rejected
dde44fb2-b22c-4d7b-81db-2c4b1c08946b,28,337231,613,Employed,7,0.27,610162,17855,Rent,Single,0,Bachelor's,Home Improvement,374794,1,Excellent,360,3.7,1725.11,Approved
418dbc82-6120-4d73-9150-992a8b49f69f,41,455497,554,Unemployed,23,0.1,352267,21735,Rent,Single,4,Bachelor's,Medical Expenses,397313,5,Fair,36,6.44,12166.4,Pending
98b4a2b5-ca10-42d3-91cb-c0b09ff2b6b1,70,71482,322,Employed,52,0.93,47048,27999,Rent,Single,1,High School,Business Expansion,22702,4,Good,24,6.93,1015.71,Approved
0a7c2bb6-8b39-4efb-a3c8-85eae315e7ac,53,468073,638,Employed,30,0.87,694907,19400,Rent,Divorced,1,Bachelor's,Medical Expenses,93609,0,Excellent,12,24.73,8884.73,Approved
84d6091a-ac50-4d41-8225-71d4df99d110,57,142989,792,Unemployed,33,0.31,360569,17053,Own,Married,1,Associate's,Debt Consolidation,90884,5,Poor,36,12.74,3050.87,Approved
852a4e29-f8a2-48c1-bb78-ec4a9eeda7d1,41,430616,810,Employed,18,0.25,114503,5727,Rent,Divorced,2,Associate's,Business Expansion,240532,0,Good,48,15.36,6738.16,Approved
1dfe16dd-1b61-4613-9540-9480eaedb28b,20,322259,665,Self-Employed,0,0.91,749992,12611,Rent,Divorced,5,Bachelor's,Home Improvement,50390,2,Fair,24,23.97,2663.42,Rejected
1d22de0e-c2a9-419b-9d26-fade8d0a1b68,39,296393,671,Unemployed,16,0.0,198884,2008,Rent,Married,4,High School,Business Expansion,150620,3,Excellent,12,11.63,13356.35,Approved
b136e738-7cb9-4d28-a30c-822cf9fdb523,70,264255,518,Employed,50,0.6,551508,17210,Own,Single,0,Bachelor's,Business Expansion,431740,0,Excellent,12,11.34,38226.4,Pending
65dc9da4-271a-4212-ad42-c798a2bdd6ca,19,460041,774,Unemployed,0,0.92,192489,25025,Own,Single,5,Bachelor's,Home Improvement,29515,0,Excellent,60,4.34,548.1,Pending
a6d069bf-fe25-47b5-bffa-3d8591f521d4,41,130361,722,Employed,17,0.51,761759,41508,Mortgage,Single,3,Bachelor's,Home Improvement,425333,0,Excellent,120,15.43,6974.54,Approved
