iter	MultiClass
0	1.072745177
1	1.054375441
2	1.036275562
3	1.021202564
4	1.012315637
5	0.9999802728
6	0.9897599176
7	0.9812604082
8	0.9724396679
9	0.9675051356
10	0.9614670634
11	0.9548944444
12	0.9486307983
13	0.9377194938
14	0.9316055398
15	0.9266092159
16	0.9230343147
17	0.9170759679
18	0.9109249843
19	0.9076642173
20	0.9027778733
21	0.8981019979
22	0.8902666036
23	0.8861732506
24	0.8796832057
25	0.8759086158
26	0.871844868
27	0.86476995
28	0.861282141
29	0.8559071388
30	0.8499282891
31	0.8457312262
32	0.8424009603
33	0.8366716045
34	0.8331516974
35	0.8275350609
36	0.8191885675
37	0.8158331135
38	0.8092316097
39	0.8021574024
40	0.7972003009
41	0.7939054
42	0.7884456092
43	0.7831708344
44	0.7785919593
45	0.7726410191
46	0.766175531
47	0.761164303
48	0.7567600644
49	0.7526638197
50	0.7485433471
51	0.743557175
52	0.7394844609
53	0.7302683013
54	0.7270864633
55	0.7224154825
56	0.7197981886
57	0.7158923944
58	0.7100292302
59	0.7044973746
60	0.6987985301
61	0.6952852798
62	0.6934913748
63	0.691219327
64	0.6868635109
65	0.6827194853
66	0.6777393024
67	0.6751173965
68	0.6699308155
69	0.6666165935
70	0.6647187283
71	0.6589909103
72	0.6553524806
73	0.6529634539
74	0.6495586485
75	0.6476340793
76	0.6449415356
77	0.6433367617
78	0.6406855975
79	0.6348647311
80	0.6308688774
81	0.6283131793
82	0.6242118324
83	0.6206323801
84	0.6185542332
85	0.6161779663
86	0.6123961654
87	0.6088239898
88	0.6035224128
89	0.6010383085
90	0.5995640081
91	0.5963740828
92	0.5938152887
93	0.5912004488
94	0.5896803928
95	0.586214556
96	0.5841632878
97	0.5805366355
98	0.5785930076
99	0.5763279692
100	0.5739751576
101	0.5701639251
102	0.5661546399
103	0.5620950289
104	0.5584775381
105	0.5552654682
106	0.5518966808
107	0.548015591
108	0.5456659695
109	0.5423382941
110	0.5400586544
111	0.5361278383
112	0.533959424
113	0.5307940105
114	0.5277980845
115	0.5250190176
116	0.5235675976
117	0.5214142117
118	0.5181566295
119	0.5151560116
120	0.5139732513
121	0.5117788933
122	0.5105002591
123	0.5087020396
124	0.5065630356
125	0.5025413441
126	0.5001276302
127	0.498243433
128	0.4965036937
129	0.4948374423
130	0.4925046498
131	0.490369215
132	0.4868896069
133	0.4850836855
134	0.4830224541
135	0.479591077
136	0.4759462231
137	0.4743570009
138	0.472507859
139	0.4703909041
140	0.468430304
141	0.4665345448
142	0.464479237
143	0.4623354883
144	0.4603208953
145	0.4581662613
146	0.4553507984
147	0.4529817059
148	0.4512788928
149	0.4490242235
150	0.446356727
151	0.4438594033
152	0.4425082362
153	0.4386119295
154	0.4367834189
155	0.4354769718
156	0.4342312715
157	0.4328620441
158	0.4310257458
159	0.4295732838
160	0.4273680718
161	0.4254946998
162	0.4231620078
163	0.4212003049
164	0.4200867523
165	0.4189656825
166	0.4168643847
167	0.41454049
168	0.4120482575
169	0.4102588206
170	0.4084028742
171	0.4068623721
172	0.4060035847
173	0.4048620963
174	0.4010896181
175	0.4001818231
176	0.3991115661
177	0.3980079309
178	0.3972111187
179	0.395221607
180	0.3938685155
181	0.3919207237
182	0.3908410342
183	0.3891908933
184	0.3883716323
185	0.3868686646
186	0.3849832007
187	0.3832553367
188	0.3820039608
189	0.3788587309
190	0.3770820687
191	0.3761141348
192	0.3742281546
193	0.3731110979
194	0.3721267399
195	0.3691632278
196	0.3661466553
197	0.3647140979
198	0.3616145742
199	0.3598600743
