iter	Passed	Remaining
0	16	3331
1	29	2909
2	42	2779
3	55	2700
4	68	2654
5	81	2621
6	93	2571
7	105	2524
8	117	2498
9	129	2469
10	143	2464
11	154	2424
12	166	2396
13	179	2385
14	192	2371
15	205	2364
16	218	2351
17	231	2344
18	244	2332
19	257	2319
20	271	2311
21	284	2302
22	296	2284
23	309	2267
24	322	2259
25	335	2245
26	348	2234
27	361	2218
28	375	2213
29	388	2200
30	403	2202
31	418	2196
32	432	2188
33	444	2172
34	457	2155
35	470	2142
36	483	2128
37	495	2113
38	508	2098
39	521	2087
40	534	2071
41	546	2057
42	558	2040
43	573	2031
44	587	2024
45	600	2010
46	614	2000
47	629	1993
48	642	1979
49	656	1968
50	670	1958
51	683	1945
52	697	1934
53	711	1924
54	725	1911
55	737	1896
56	749	1881
57	763	1868
58	776	1855
59	789	1841
60	804	1832
61	816	1817
62	828	1801
63	841	1787
64	854	1774
65	867	1761
66	881	1750
67	893	1734
68	905	1719
69	917	1704
70	929	1689
71	942	1675
72	954	1660
73	966	1646
74	979	1631
75	991	1617
76	1005	1605
77	1020	1596
78	1033	1583
79	1046	1569
80	1059	1555
81	1071	1542
82	1084	1528
83	1095	1512
84	1106	1497
85	1118	1482
86	1129	1466
87	1140	1451
88	1151	1436
89	1163	1422
90	1174	1407
91	1187	1394
92	1199	1380
93	1211	1366
94	1221	1350
95	1232	1335
96	1242	1319
97	1254	1305
98	1265	1291
99	1277	1277
100	1289	1263
101	1300	1249
102	1312	1236
103	1323	1221
104	1334	1207
105	1345	1192
106	1355	1178
107	1366	1164
108	1378	1150
109	1389	1136
110	1399	1122
111	1410	1108
112	1422	1095
113	1434	1081
114	1444	1067
115	1455	1054
116	1466	1039
117	1476	1026
118	1488	1013
119	1500	1000
120	1512	987
121	1524	974
122	1535	961
123	1546	948
124	1558	935
125	1569	921
126	1582	909
127	1595	897
128	1608	885
129	1620	872
130	1631	859
131	1642	846
132	1653	833
133	1665	820
134	1676	807
135	1688	794
136	1700	781
137	1711	769
138	1723	756
139	1735	743
140	1751	732
141	1762	720
142	1774	707
143	1786	694
144	1797	681
145	1809	669
146	1821	656
147	1833	644
148	1844	631
149	1857	619
150	1869	606
151	1880	593
152	1890	580
153	1902	568
154	1913	555
155	1926	543
156	1937	530
157	1949	518
158	1962	505
159	1973	493
160	1985	480
161	1999	468
162	2010	456
163	2022	444
164	2035	431
165	2046	419
166	2058	406
167	2069	394
168	2081	381
169	2092	369
170	2104	356
171	2115	344
172	2127	332
173	2139	319
174	2151	307
175	2162	294
176	2174	282
177	2185	270
178	2197	257
179	2209	245
180	2220	233
181	2233	220
182	2245	208
183	2257	196
184	2268	183
185	2281	171
186	2294	159
187	2305	147
188	2316	134
189	2327	122
190	2339	110
191	2350	97
192	2361	85
193	2373	73
194	2384	61
195	2397	48
196	2409	36
197	2421	24
198	2432	12
199	2444	0
