customer_id,age,annual_income,credit_score,employment_status,years_employed,debt_to_income_ratio,savings_balance,checking_balance,home_ownership,marital_status,num_dependents,education_level,loan_purpose,requested_loan_amount,existing_loans,payment_history,loan_term,interest_rate,monthly_payment,approval_status
0b860347-1bf8-4323-8381-9f21d47672fe,26,493487,440,Self-Employed,8,0.76,622189,44809,Mortgage,Divorced,5,Associate's,Business Expansion,15791,0,Fair,60,11.33,345.94,Pending
afa18860-f2e1-46c6-bb59-0fdd201dde27,72,457510,665,Employed,49,0.3,595307,33390,Own,Divorced,4,Bachelor's,Education,383112,5,Poor,36,8.05,12014.18,Pending
cb0664bf-bf9b-46d8-931a-37b135a404b1,39,429443,494,Employed,19,0.85,946197,49957,Mortgage,Married,2,Master's,Car Purchase,397801,1,Fair,60,11.2,8688.89,Approved
3a4f6008-a290-4932-a237-bead9ce21e3d,79,151633,627,Employed,56,0.18,276972,25815,Rent,Single,1,Bachelor's,Education,215472,1,Good,12,16.74,19625.49,Approved
e758b20f-dbe6-46b3-8c9c-589b3b517a56,64,209082,478,Employed,42,0.23,709171,21105,Own,Divorced,0,Bachelor's,Car Purchase,470354,0,Excellent,180,6.24,4030.36,Approved
3f0e284d-a246-4283-a045-8ea421cfc026,63,56779,474,Unemployed,44,0.29,697891,23544,Rent,Single,1,High School,Education,274475,4,Fair,36,4.52,8167.24,Approved
6fb511cb-873c-4a03-9153-b4b8d7d244df,64,213598,818,Self-Employed,41,0.44,540805,33139,Mortgage,Single,3,High School,Home Improvement,402893,1,Excellent,180,3.02,2786.18,Pending
d769d860-c338-409f-9370-73833e384eeb,51,280519,417,Employed,33,0.83,705593,19417,Own,Married,4,High School,Education,437288,1,Poor,36,4.03,12916.32,Approved
176894cf-9cfd-4327-a374-f1f0e6a02282,64,254283,553,Employed,43,0.67,595653,42363,Own,Widowed,1,Associate's,Debt Consolidation,20096,5,Good,360,19.81,332.67,Approved
70b05392-af0f-446c-8f24-3fd4514e23cc,48,161516,340,Employed,26,0.45,677243,27535,Own,Married,5,Master's,Education,112906,4,Good,48,6.55,2680.16,Pending
18e83f92-f5ad-43c4-8445-0d54e4eee7fe,26,158891,347,Unemployed,6,0.58,558520,45140,Mortgage,Single,2,High School,Medical Expenses,244446,5,Good,48,19.0,7308.96,Approved
7e08ab94-82a0-41f1-acf3-a477bad9b54d,21,99955,342,Employed,0,0.36,325174,39093,Rent,Single,1,Associate's,Business Expansion,127438,0,Excellent,24,4.65,5570.93,Pending
1bf93e6f-ff73-4863-bd67-d81e97f37b07,32,364817,414,Employed,10,0.26,325181,45936,Rent,Single,5,High School,Education,94184,2,Fair,60,17.08,2344.77,Approved
d400e286-ae12-4cb8-9479-367fa9c1195b,30,181905,522,Self-Employed,7,0.71,905851,24933,Mortgage,Widowed,1,Master's,Business Expansion,467875,3,Excellent,12,15.31,42298.08,Rejected
32837582-1e5f-4cac-b8b1-9b5644e86037,29,464159,523,Employed,5,0.18,289850,4443,Rent,Married,0,Bachelor's,Medical Expenses,163798,4,Good,48,24.7,5403.7,Approved
0bef0aa9-5c0f-4cdd-a9f7-58990b84b8fa,51,479429,327,Employed,33,0.07,355005,6761,Own,Single,4,Bachelor's,Education,59843,3,Excellent,48,12.36,1586.49,Approved
9109681c-31bf-4c98-aa2c-d81ade7b9840,77,371056,523,Unemployed,57,0.82,550833,4898,Mortgage,Married,3,Master's,Medical Expenses,113162,4,Good,48,8.17,2771.65,Approved
